RAPPORT: OPPERVLAKTEWATERSTANDEN 
CATEGORIE: GEMETEN STANDEN 
TITEL: Duinweilanden Texel ow
PERIODE: van 01/01/1900 t/m 15/01/2016
GEBRUIKER: HARKEMA
DATUM: 15/01/2016
 
SCHAAL CLUSTER,SCHAAL,OLGA NUMMER,SCHAAL CONSTRUCTIE,X COORDINAAT (m),Y COORDINAAT (m),MAAIVELD (cm NAP),MAAIVELD GESCHAT,START DATUM,EIND DATUM,MEETPUNT (cm NAP),MEETPUNT (cm MV)
,P04D0001,28/01/1986,,,D,,,
,P04D0001,14/02/1986,,,Y,,,
,P04D0001,28/02/1986,,,Y,,,
,P04D0001,14/03/1986,,,D,,,
,P04D0001,14/04/1986,,,D,,,
,P04D0001,28/04/1986,,,D,,,
,P04D0001,15/05/1986,,,D,,,
,P04D0001,28/05/1986,,,D,,,
,P04D0001,16/06/1986,,,D,,,
,P04D0001,28/06/1986,,,D,,,
,P04D0001,15/07/1986,,,D,,,
,P04D0001,28/07/1986,,,D,,,
,P04D0001,28/08/1986,,,D,,,
,P04D0001,12/09/1986,,,D,,,
,P04D0001,29/09/1986,,,D,,,
,P04D0001,14/10/1986,,,D,,,
,P04D0001,29/10/1986,,,D,,,
,P04D0001,13/11/1986,,,D,,,
,P04D0001,28/11/1986,,,D,,,
,P04D0001,15/12/1986,,,D,,,
,P04D0001,28/12/1986,,,D,,,
,P04D0001,30/01/1987,,,D,,,
,P04D0001,13/02/1987,,,D,,,
,P04D0001,27/02/1987,,,D,,,
,P04D0001,28/03/1987,,,D,,,
,P04D0001,14/04/1987,,,D,,,
,P04D0001,28/04/1987,,,D,,,
,P04D0001,16/05/1987,,,D,,,
,P04D0001,29/05/1987,,,D,,,
,P04D0001,14/06/1987,,,D,,,
,P04D0001,29/06/1987,,,D,,,
,P04D0001,14/07/1987,,,D,,,
,P04D0001,30/07/1987,,,D,,,
,P04D0001,14/08/1987,,,D,,,
,P04D0001,28/08/1987,,,D,,,
,P04D0001,14/09/1987,,,D,,,
,P04D0001,28/09/1987,,,D,,,
,P04D0001,16/10/1987,,,D,,,
,P04D0001,28/10/1987,,,D,,,
,P04D0001,19/11/1987,,,D,,,
,P04D0001,29/11/1987,,,D,,,
,P04D0001,14/12/1987,,,D,,,
,P04D0001,28/12/1987,,,D,,,
,P04D0001,14/01/1988,,,D,,,
,P04D0001,27/01/1988,,137,,,,
,P04D0001,15/02/1988,,,D,,,
,P04D0001,14/03/1988,,,D,,,
,P04D0001,30/03/1988,,,D,,,
,P04D0001,14/04/1988,,,D,,,
,P04D0001,28/04/1988,,,D,,,
,P04D0001,14/05/1988,,,D,,,
,P04D0001,28/05/1988,,,D,,,
,P04D0001,14/06/1988,,,D,,,
,P04D0001,29/06/1988,,,D,,,
,P04D0001,14/07/1988,,,D,,,
,P04D0001,28/07/1988,,,D,,,
,P04D0001,14/08/1988,,,D,,,
,P04D0001,28/08/1988,,,D,,,
,P04D0001,14/09/1988,,,D,,,
,P04D0001,28/09/1988,,,D,,,
,P04D0001,17/10/1988,,,D,,,
,P04D0001,28/10/1988,,,D,,,
,P04D0001,14/11/1988,,,D,,,
,P04D0001,28/11/1988,,,D,,,
,P04D0001,13/01/1989,,,D,,,
,P04D0001,30/01/1989,,,D,,,
,P04D0001,14/02/1989,,,D,,,
,P04D0001,28/02/1989,,,D,,,
,P04D0001,14/03/1989,,,D,,,
,P04D0001,28/03/1989,,,D,,,
,P04D0001,14/04/1989,,,D,,,
,P04D0001,28/04/1989,,,D,,,
,P04D0001,14/05/1989,,,D,,,
,P04D0001,28/05/1989,,,D,,,
,P04D0001,14/06/1989,,,D,,,
,P04D0001,28/06/1989,,,D,,,
,P04D0001,14/07/1989,,,D,,,
,P04D0001,30/07/1989,,,D,,,
,P04D0001,14/08/1989,,,D,,,
,P04D0001,28/08/1989,,,D,,,
,P04D0001,14/09/1989,,,D,,,
,P04D0001,28/09/1989,,,D,,,
,P04D0001,14/10/1989,,,D,,,
,P04D0001,28/10/1989,,,D,,,
,P04D0001,14/11/1989,,,D,,,
,P04D0001,28/11/1989,,,D,,,
