1;2;3;4;5;6;7;8;9;10;
NITGNR;FILTER NR;X COORD;Y COORD;SURFACE LEV (m-ref);TOP FILTER (m-ref);BOTTOM FILTER (m-ref);MEAS POINT LEV (m-ref);SED SUMP LENGTH (m);START DATE 
B16B0114;1;09-07-1991 00:00;   -0,96
B16B0114;1;29-07-1991 00:00;      -1
B16B0114;1;19-09-1991 00:00;   -1,11
B16B0114;1;07-10-1991 00:00;   -1,03
B16B0114;1;20-11-1991 00:00;    -1,1
B16B0114;1;29-11-1991 00:00;   -1,11
B16B0114;1;27-12-1991 00:00;   -1,14
B16B0114;1;28-01-1992 00:00;   -1,15
B16B0114;1;01-03-1992 00:00;   -1,09
B16B0114;1;27-03-1992 00:00;   -1,01
B16B0114;1;27-04-1992 00:00;      -1
B16B0114;1;02-06-1992 00:00;   -1,01
B16B0114;1;29-06-1992 00:00;   -1,09
B16B0114;1;06-08-1992 00:00;    -1,1
B16B0114;1;31-08-1992 00:00;   -1,05
B16B0114;1;30-09-1992 00:00;   -1,08
B16B0114;1;05-11-1992 00:00;    -1,1
B16B0114;1;08-12-1992 00:00;   -1,08
B16B0114;1;04-03-1993 00:00;   -1,16
B16B0114;1;05-04-1993 00:00;    -1,1
B16B0114;1;05-05-1993 00:00;    -1,1
B16B0114;1;05-06-1993 00:00;   -1,05
B16B0114;1;03-07-1993 00:00;   -1,09
B16B0114;1;04-08-1993 00:00;   -0,99
B16B0114;1;07-09-1993 00:00;      -1
B16B0114;1;11-10-1993 00:00;   -1,12
B16B0114;1;13-11-1993 00:00;   -1,04
B16B0114;1;29-11-1993 00:00;    -1,2
B16B0114;1;14-12-1993 00:00;   -1,04
B16B0114;1;28-12-1993 00:00;   -1,07
B16B0114;1;14-01-1994 00:00;   -1,08
B16B0114;1;28-01-1994 00:00;   -1,09
B16B0114;1;14-02-1994 00:00;   -1,19
B16B0114;1;28-02-1994 00:00;   -1,16
B16B0114;1;14-03-1994 00:00;   -1,13
B16B0114;1;28-03-1994 00:00;   -1,09
B16B0114;1;28-04-1994 00:00;   -1,16
B16B0114;1;16-05-1994 00:00;   -1,25
B16B0114;1;27-05-1994 00:00;   -0,99
B16B0114;1;14-06-1994 00:00;   -0,99
B16B0114;1;28-06-1994 00:00;   -1,05
B16B0114;1;14-07-1994 00:00;   -1,04
B16B0114;1;28-07-1994 00:00;    -1,1
B16B0114;1;15-08-1994 00:00;   -1,04
B16B0114;1;29-08-1994 00:00;   -1,03
B16B0114;1;13-09-1994 00:00;   -1,03
B16B0114;1;27-09-1994 00:00;   -1,05
B16B0114;1;17-10-1994 00:00;   -1,09
B16B0114;1;28-10-1994 00:00;   -1,06
B16B0114;1;14-11-1994 00:00;   -1,03
B16B0114;1;28-11-1994 00:00;   -1,12
B16B0114;1;15-12-1994 00:00;   -1,12
B16B0114;1;29-12-1994 00:00;   -1,03
B16B0114;1;13-01-1995 00:00;   -1,09
B16B0114;1;27-01-1995 00:00;   -0,97
B16B0114;1;14-02-1995 00:00;    -1,1
B16B0114;1;28-02-1995 00:00;    -1,1
B16B0114;1;14-03-1995 00:00;   -1,16
B16B0114;1;28-03-1995 00:00;   -1,17
B16B0114;1;14-04-1995 00:00;   -1,22
B16B0114;1;28-04-1995 00:00;   -1,07
B16B0114;1;15-05-1995 00:00;   -1,07
B16B0114;1;29-05-1995 00:00;      -1
B16B0114;1;28-07-1995 00:00;   -1,09
B16B0114;1;14-08-1995 00:00;   -1,16
B16B0114;1;28-08-1995 00:00;   -1,06
B16B0114;1;14-09-1995 00:00;   -1,01
B16B0114;1;28-09-1995 00:00;   -1,05
B16B0114;1;13-10-1995 00:00;    -1,1
B16B0114;1;26-10-1995 00:00;   -1,16
B16B0114;1;28-11-1995 00:00;   -1,17
B16B0114;1;14-12-1995 00:00;   -1,24
B16B0114;1;28-12-1995 00:00;   -1,16
B16B0114;1;15-01-1996 00:00;   -1,16
B16B0114;1;29-01-1996 00:00;   -1,24
B16B0114;1;14-02-1996 00:00;   -1,24
B16B0114;1;28-02-1996 00:00;   -1,08
B16B0114;1;14-03-1996 00:00;   -1,19
B16B0114;1;28-03-1996 00:00;   -1,18
B16B0114;1;29-04-1996 00:00;   -1,06
B16B0114;1;14-05-1996 00:00;   -1,06
B16B0114;1;28-05-1996 00:00;   -1,04
B16B0114;1;14-06-1996 00:00;   -1,06
B16B0114;1;28-06-1996 00:00;   -1,09
B16B0114;1;15-07-1996 00:00;   -1,06
B16B0114;1;29-07-1996 00:00;   -1,04
B16B0114;1;14-08-1996 00:00;   -0,98
B16B0114;1;28-08-1996 00:00;   -1,05
B16B0114;1;13-09-1996 00:00;   -1,05
B16B0114;1;27-09-1996 00:00;   -1,05
B16B0114;1;14-10-1996 00:00;    -1,1
B16B0114;1;28-10-1996 00:00;   -1,05
B16B0114;1;14-11-1996 00:00;    -1,1
B16B0114;1;28-11-1996 00:00;   -1,09
B16B0114;1;13-12-1996 00:00;   -1,11
B16B0114;1;30-12-1996 00:00;   -1,09
B16B0114;1;14-01-1997 00:00;   -1,17
B16B0114;1;28-01-1997 00:00;   -1,14
B16B0114;1;14-02-1997 00:00;   -1,04
B16B0114;1;28-02-1997 00:00;    -1,1
B16B0114;1;14-03-1997 00:00;   -1,21
B16B0114;1;27-03-1997 00:00;   -1,19
B16B0114;1;28-04-1997 00:00;   -1,16
B16B0114;1;14-05-1997 00:00;   -1,01
B16B0114;1;28-05-1997 00:00;   -0,98
B16B0114;1;13-06-1997 00:00;   -1,04
B16B0114;1;27-06-1997 00:00;   -1,04
B16B0114;1;14-07-1997 00:00;   -1,04
B16B0114;1;28-07-1997 00:00;   -1,03
B16B0114;1;14-08-1997 00:00;   -1,14
B16B0114;1;28-08-1997 00:00;   -1,09
B16B0114;1;15-09-1997 00:00;   -1,09
B16B0114;1;29-09-1997 00:00;   -1,16
B16B0114;1;14-10-1997 00:00;   -1,11
B16B0114;1;28-10-1997 00:00;   -1,18
B16B0114;1;14-11-1997 00:00;   -1,19
B16B0114;1;28-11-1997 00:00;   -1,18
B16B0114;1;15-12-1997 00:00;   -1,08
B16B0114;1;29-12-1997 00:00;   -1,05
B16B0114;1;13-02-1998 00:00;   -1,14
B16B0114;1;28-02-1998 00:00;   -1,16
B16B0114;1;13-03-1998 00:00;   -1,05
B16B0114;1;28-03-1998 00:00;   -1,09
B16B0114;1;14-04-1998 00:00;   -0,99
B16B0114;1;28-04-1998 00:00;   -0,99
B16B0114;1;14-05-1998 00:00;   -1,06
B16B0114;1;28-05-1998 00:00;   -0,97
B16B0114;1;15-06-1998 00:00;   -1,03
B16B0114;1;29-06-1998 00:00;   -1,01
B16B0114;1;14-07-1998 00:00;   -1,06
B16B0114;1;28-07-1998 00:00;   -1,07
B16B0114;1;14-08-1998 00:00;   -1,09
B16B0114;1;28-08-1998 00:00;      -1
B16B0114;1;14-09-1998 00:00;   -1,04
B16B0114;1;28-09-1998 00:00;   -1,04
B16B0114;1;14-10-1998 00:00;   -1,04
B16B0114;1;16-11-1998 00:00;   -0,97
B16B0114;1;27-11-1998 00:00;   -1,09
B16B0114;1;14-12-1998 00:00;   -1,04
B16B0114;1;28-12-1998 00:00;   -1,04
B16B0114;1;14-01-1999 00:00;   -1,09
B16B0114;1;28-01-1999 00:00;   -1,05
B16B0114;1;15-02-1999 00:00;   -1,14
B16B0114;1;01-03-1999 00:00;   -1,06
B16B0114;1;15-03-1999 00:00;   -1,18
B16B0114;1;29-03-1999 00:00;   -1,18
B16B0114;1;14-04-1999 00:00;   -1,15
B16B0114;1;28-04-1999 00:00;   -1,19
B16B0114;1;17-05-1999 00:00;   -1,19
B16B0114;1;28-05-1999 00:00;   -1,14
B16B0114;1;14-06-1999 00:00;   -1,06
B16B0114;1;14-07-1999 00:00;   -1,12
B16B0114;1;28-07-1999 00:00;   -1,11
B16B0114;1;13-08-1999 00:00;   -1,11
B16B0114;1;27-08-1999 00:00;   -1,03
B16B0114;1;14-09-1999 00:00;   -1,15
B16B0114;1;15-09-1999 00:00;   -1,12
B16B0114;1;28-09-1999 00:00;   -1,09
B16B0114;1;14-10-1999 00:00;   -1,09
B16B0114;1;28-10-1999 00:00;    -1,2
B16B0114;1;15-11-1999 00:00;   -1,17
B16B0114;1;29-11-1999 00:00;   -1,12
B16B0114;1;14-12-1999 00:00;   -1,05
B16B0114;1;29-12-1999 00:00;   -1,09
B16B0114;1;14-01-2000 00:00;   -1,15
B16B0114;1;28-01-2000 00:00;   -1,18
B16B0114;1;14-02-2000 00:00;   -1,13
B16B0114;1;28-02-2000 00:00;   -1,12
B16B0114;1;28-03-2000 00:00;   -1,17
B16B0114;1;14-04-2000 00:00;   -1,12
B16B0114;1;28-04-2000 00:00;   -1,11
B16B0114;1;15-05-2000 00:00;   -1,13
B16B0114;1;28-05-2000 00:00;   -1,05
B16B0114;1;14-06-2000 00:00;   -1,07
B16B0114;1;28-06-2000 00:00;   -1,11
B16B0114;1;14-07-2000 00:00;    -1,1
B16B0114;1;28-07-2000 00:00;   -1,12
B16B0114;1;28-08-2000 00:00;   -1,07
B16B0114;1;14-09-2000 00:00;   -1,05
B16B0114;1;28-09-2000 00:00;   -1,06
B16B0114;1;13-10-2000 00:00;    -1,1
B16B0114;1;27-10-2000 00:00;   -1,15
B16B0114;1;15-11-2000 00:00;   -1,09
B16B0114;1;28-11-2000 00:00;   -1,03
B16B0114;1;14-12-2000 00:00;   -1,05
B16B0114;1;28-12-2000 00:00;   -1,15
B16B0114;1;14-01-2001 00:00;   -1,15
B16B0114;1;29-01-2001 00:00;   -1,13
B16B0114;1;14-02-2001 00:00;   -1,14
B16B0114;1;28-02-2001 00:00;   -1,19
B16B0114;1;14-03-2001 00:00;   -1,16
B16B0114;1;28-03-2001 00:00;   -1,15
B16B0114;1;14-04-2001 00:00;   -1,17
B16B0114;1;27-04-2001 00:00;   -1,08
B16B0114;1;14-05-2001 00:00;   -1,11
B16B0114;1;28-05-2001 00:00;   -1,03
B16B0114;1;14-06-2001 00:00;   -1,08
B16B0114;1;28-06-2001 00:00;   -1,15
B16B0114;1;14-07-2001 00:00;   -1,08
B16B0114;1;27-07-2001 00:00;   -1,06
B16B0114;1;14-08-2001 00:00;      -1
B16B0114;1;28-08-2001 00:00;   -1,07
B16B0114;1;14-09-2001 00:00;   -1,04
B16B0114;1;28-09-2001 00:00;   -1,05
B16B0114;1;15-10-2001 00:00;   -1,09
B16B0114;1;29-10-2001 00:00;    -1,1
B16B0114;1;14-11-2001 00:00;   -1,15
B16B0114;1;28-11-2001 00:00;   -1,15
B16B0114;1;14-12-2001 00:00;   -1,17
B16B0114;1;28-12-2001 00:00;   -1,11
B16B0114;1;14-01-2002 00:00;   -1,19
B16B0114;1;28-01-2002 00:00;   -1,11
B16B0114;1;14-02-2002 00:00;   -1,17
B16B0114;1;28-02-2002 00:00;   -1,09
B16B0114;1;14-03-2002 00:00;   -1,21
B16B0114;1;28-03-2002 00:00;    -1,2
B16B0114;1;15-04-2002 00:00;   -1,25
B16B0114;1;29-04-2002 00:00;   -1,09
B16B0114;1;14-05-2002 00:00;   -1,07
B16B0114;1;28-05-2002 00:00;    -1,1
B16B0114;1;14-06-2002 00:00;   -1,05
B16B0114;1;28-06-2002 00:00;   -1,05
B16B0114;1;15-07-2002 00:00;   -1,05
B16B0114;1;29-07-2002 00:00;   -1,11
B16B0114;1;14-08-2002 00:00;   -1,13
B16B0114;1;28-08-2002 00:00;   -1,06
B16B0114;1;13-09-2002 00:00;   -1,11
B16B0114;1;30-09-2002 00:00;   -1,18
B16B0114;1;14-10-2002 00:00;   -1,18
B16B0114;1;28-10-2002 00:00;   -1,15
B16B0114;1;14-11-2002 00:00;   -1,17
B16B0114;1;28-11-2002 00:00;    -1,2
B16B0114;1;13-12-2002 00:00;   -1,19
B16B0114;1;27-12-2002 00:00;    -1,1
B16B0114;1;14-01-2003 00:00;   -1,15
B16B0114;1;28-01-2003 00:00;   -1,15
B16B0114;1;14-02-2003 00:00;   -1,19
B16B0114;1;28-02-2003 00:00;   -1,27
B16B0114;1;14-03-2003 00:00;   -1,27
B16B0114;1;28-03-2003 00:00;   -1,25
B16B0114;1;14-04-2003 00:00;   -1,18
B16B0114;1;28-04-2003 00:00;    -1,1
B16B0114;1;14-05-2003 00:00;   -1,05
B16B0114;1;28-05-2003 00:00;   -1,05
B16B0114;1;13-06-2003 00:00;   -1,03
B16B0114;1;27-06-2003 00:00;    -1,1
B16B0114;1;14-07-2003 00:00;   -1,09
B16B0114;1;28-07-2003 00:00;   -1,15
B16B0114;1;14-08-2003 00:00;   -1,16
B16B0114;1;28-08-2003 00:00;   -1,15
B16B0114;1;14-09-2003 00:00;   -1,16
B16B0114;1;29-09-2003 00:00;   -1,13
B16B0114;1;14-10-2003 00:00;    -1,1
B16B0114;1;28-10-2003 00:00;   -1,15
B16B0114;1;14-11-2003 00:00;   -1,14
B16B0114;1;28-11-2003 00:00;   -1,15
B16B0114;1;15-12-2003 00:00;   -1,15
B16B0114;1;29-12-2003 00:00;   -1,15
B16B0114;1;14-01-2004 00:00;   -1,17
B16B0114;1;28-01-2004 00:00;    -1,2
B16B0114;1;14-02-2004 00:00;   -1,16
B16B0114;1;28-02-2004 00:00;   -1,21
B16B0114;1;12-03-2004 08:00; -1,2381
B16B0114;1;13-03-2004 08:00; -1,2252
B16B0114;1;14-03-2004 08:00; -1,2387
B16B0114;1;15-03-2004 08:00; -1,2323
B16B0114;1;16-03-2004 08:00; -1,2059
B16B0114;1;17-03-2004 08:00; -1,2014
B16B0114;1;18-03-2004 08:00; -1,2055
B16B0114;1;19-03-2004 08:00; -1,1729
B16B0114;1;20-03-2004 08:00; -1,1323
