Format;HydroMonitor - open data exchange file;;;;;;;;;;
Format Version;1.0;;;;;;;;;;
Format Definition;http://hydromonitor.nl/downloads/hydromonitor_data_exchange_format.pdf;;;;;;;;;;
Format Type;CSV;;;;;;;;;;
Format Contents;Header;Metadata;Data;;;;;;;;
Object Type;PumpingWell;;;;;;;;;;
Object ID Fields;Name;FilterNo;;;;;;;;;
;;;;;;;;;;;
Name;FilterNo;StartDateTime;XCoordinate;YCoordinate;SurfaceLevel;WellTopLevel;FilterTopLevel;FilterBottomLevel;WellBottomLevel;Comment;CommentBy
[String];[Integer];[dd-mm-yyyy HH:MM];[m];[m];[m+ref];[m+ref];[m+ref];[m+ref];[m+ref];[String];[String]
Well1;1;15-6-1970 0:00;187930;378630;30,37;30,76;21;20;20;;
Well2;1;15-6-1970 0:00;189790;382110;30,16;30,74;23,74;22,74;22,74;;
Well3;1;15-6-1970 0:00;187360;377180;27,86;28,09;11,09;10,09;10,09;;
Well4;1;1-6-2003 0:00;189440;383320;30,78;30,72;28,21;27,21;27,21;;
Well4;1;14-11-1992 0:00;189440;383320;30,78;30,71;28,21;27,21;27,21;;
;;;;;;;;;;;
Name;FilterNo;DateTime;Volume;;;;;;;;
[String];[Integer];[dd-mm-yyyy HH:MM];[m^3];;;;;;;;
Well1;1;28-11-1967 1:00;28,26;;;;;;;;
Well1;1;14-12-1967 1:00;28,55;;;;;;;;
Well1;1;28-12-1967 1:00;28,67;;;;;;;;
Well1;1;15-1-1968 1:00;28,76;;;;;;;;
Well1;1;29-1-1968 1:00;28,56;;;;;;;;
Well1;1;28-2-1968 1:00;28,31;;;;;;;;
Well1;1;14-3-1968 1:00;28,41;;;;;;;;
Well1;1;28-3-1968 1:00;28,24;;;;;;;;
Well1;1;16-4-1968 1:00;28,16;;;;;;;;
Well1;1;29-4-1968 1:00;27,94;;;;;;;;
Well1;1;14-5-1968 1:00;28,05;;;;;;;;
Well1;1;28-6-1968 1:00;28,03;;;;;;;;
Well1;1;29-7-1968 1:00;27,95;;;;;;;;
Well1;1;14-8-1968 1:00;28,26;;;;;;;;
Well1;1;28-8-1968 1:00;28,16;;;;;;;;
Well1;1;13-9-1968 1:00;28,3;;;;;;;;
Well1;1;27-9-1968 1:00;28,71;;;;;;;;
Well1;1;14-10-1968 1:00;28,51;;;;;;;;
Well1;1;28-10-1968 1:00;28,56;;;;;;;;
Well1;1;14-11-1968 1:00;28,33;;;;;;;;
Well1;1;28-11-1968 1:00;28,24;;;;;;;;
Well1;1;13-12-1968 1:00;28,15;;;;;;;;
Well1;1;27-12-1968 1:00;28,2;;;;;;;;
Well1;1;14-1-1969 1:00;28,36;;;;;;;;
Well1;1;28-1-1969 1:00;28,37;;;;;;;;
Well1;1;14-2-1969 1:00;28,31;;;;;;;;
Well1;1;28-2-1969 1:00;28,69;;;;;;;;
Well1;1;14-3-1969 1:00;28,47;;;;;;;;
Well1;1;28-3-1969 1:00;28,41;;;;;;;;
Well1;1;14-4-1969 1:00;28,39;;;;;;;;
Well1;1;28-4-1969 1:00;28,3;;;;;;;;
Well1;1;14-5-1969 1:00;28,06;;;;;;;;
Well1;1;28-5-1969 1:00;28,17;;;;;;;;
Well1;1;13-6-1969 1:00;28,05;;;;;;;;
Well1;1;27-6-1969 1:00;27,91;;;;;;;;
Well1;1;14-7-1969 1:00;27,99;;;;;;;;
Well1;1;28-7-1969 1:00;28,32;;;;;;;;
Well1;1;14-8-1969 1:00;28,03;;;;;;;;
Well1;1;27-8-1969 1:00;28,52;;;;;;;;
Well1;1;29-9-1969 1:00;28,02;;;;;;;;
Well1;1;14-10-1969 1:00;27,91;;;;;;;;
Well1;1;28-10-1969 1:00;27,86;;;;;;;;
Well1;1;14-11-1969 1:00;27,99;;;;;;;;
Well1;1;28-11-1969 1:00;28,12;;;;;;;;
Well1;1;29-12-1969 1:00;28,13;;;;;;;;
Well1;1;14-1-1970 1:00;28,29;;;;;;;;
Well1;1;13-2-1970 1:00;28,43;;;;;;;;
Well1;1;27-2-1970 1:00;28,9;;;;;;;;
Well1;1;14-4-1970 1:00;28,38;;;;;;;;
Well1;1;28-4-1970 1:00;28,55;;;;;;;;
Well1;1;14-5-1970 1:00;28,21;;;;;;;;
Well1;1;14-8-1970 1:00;28;;;;;;;;
Well1;1;28-8-1970 1:00;27,88;;;;;;;;
Well1;1;14-9-1970 1:00;27,92;;;;;;;;
Well1;1;28-9-1970 1:00;28,12;;;;;;;;
Well1;1;14-12-1970 1:00;28,35;;;;;;;;
Well1;1;28-2-1971 1:00;28,23;;;;;;;;
Well1;1;28-4-1971 1:00;28,16;;;;;;;;
Well1;1;27-8-1971 1:00;27,83;;;;;;;;
Well1;1;14-10-1971 1:00;27,81;;;;;;;;
Well1;1;14-12-1971 1:00;28,03;;;;;;;;
Well1;1;28-4-1972 1:00;28,21;;;;;;;;
Well1;1;28-8-1972 1:00;28,26;;;;;;;;
Well1;1;13-10-1972 1:00;28,02;;;;;;;;
Well1;1;14-12-1972 1:00;28,11;;;;;;;;
Well1;1;27-4-1973 1:00;28,27;;;;;;;;
Well1;1;28-8-1973 1:00;27,81;;;;;;;;
Well1;1;15-10-1973 1:00;28,11;;;;;;;;
Well1;1;14-12-1973 1:00;28,34;;;;;;;;
Well2;1;21-7-1970 1:00;29,72;;;;;;;;
Well2;1;26-8-1970 1:00;29,6;;;;;;;;
Well2;1;14-10-1970 1:00;29,72;;;;;;;;
Well2;1;14-12-1970 1:00;29,96;;;;;;;;
Well2;1;28-4-1971 1:00;29,84;;;;;;;;
Well2;1;27-8-1971 1:00;29,62;;;;;;;;
Well2;1;14-10-1971 1:00;29,46;;;;;;;;
Well2;1;15-12-1971 1:00;29,78;;;;;;;;
Well2;1;30-4-1972 1:00;29,89;;;;;;;;
Well2;1;28-8-1972 1:00;29,9;;;;;;;;
Well2;1;17-10-1972 1:00;29,69;;;;;;;;
Well2;1;15-12-1972 1:00;29,89;;;;;;;;
Well2;1;11-5-1973 1:00;29,95;;;;;;;;
Well2;1;28-8-1973 1:00;29,39;;;;;;;;
Well2;1;15-10-1973 1:00;29,51;;;;;;;;
Well2;1;15-12-1973 1:00;29,93;;;;;;;;
Well2;1;29-4-1974 1:00;29,82;;;;;;;;
Well2;1;27-8-1974 1:00;29,64;;;;;;;;
Well2;1;14-10-1974 1:00;29,85;;;;;;;;
Well2;1;15-12-1974 1:00;30,12;;;;;;;;
Well2;1;28-8-1975 1:00;29,55;;;;;;;;
Well2;1;14-10-1975 1:00;29,58;;;;;;;;
Well2;1;15-12-1975 1:00;29,74;;;;;;;;
Well2;1;28-4-1976 1:00;29,76;;;;;;;;
Well2;1;29-8-1976 1:00;29,93;;;;;;;;
Well2;1;14-10-1976 1:00;29,53;;;;;;;;
